Instance,shuffle time,cost,performance,run time
C101_20_2D,0,368.0082579531238,0.8486801075353246,0.12963425159454345
C101_20_2D,1,372.03673457610057,0.8360769521111524,0.11366108417510987
C101_20_2D,2,384.0814810198266,0.7983947646040414,0.11715485572814942
C101_20_2D,3,384.0814810198266,0.7983947646040414,0.11385184288024902
C101_20_2D,4,382.4852165357155,0.8033887043172803,0.11788440227508545
C101_20_2D,5,375.7744424097556,0.8243834716304612,0.1125078821182251
C101_20_2D,6,371.5143170214169,0.8377113440300334,0.11734447479248047
C101_20_2D,7,372.28372016768816,0.8353042536224594,0.12499402046203613
C101_20_2D,8,339.2451849900079,0.9386658547439278,0.1189265251159668
C101_20_2D,9,340.66717777129224,0.9342171269215147,0.13507344722747802
C101_20_2D,10,356.8462772019769,0.8836005480427771,0.1155132532119751
C101_20_2D,11,384.0814810198266,0.7983947646040414,0.11499283790588379
C101_20_2D,12,369.13809241264323,0.8451454018315128,0.11818548202514649
C101_20_2D,13,384.0814810198266,0.7983947646040414,0.11632373809814453
C101_20_2D,14,366.0762057781428,0.8547245645665541,0.11506274700164795
C101_20_2D,15,378.53054493272543,0.8157609595215849,0.1159014081954956
C101_20_2D,16,365.05870646746615,0.8579078279081619,0.1167118215560913
C101_20_2D,17,373.0257506327681,0.8329827990985499,0.11304710865020752
C101_20_2D,18,380.25925578248234,0.8103526591733407,0.11236064910888671
C101_20_2D,19,384.0814810198266,0.7983947646040414,0.11237975120544434
C101_20_2D,20,372.57734908235284,0.8343856307297652,0.13059953212738037
C101_20_2D,21,384.0814810198266,0.7983947646040414,0.11833111763000488
C101_20_2D,22,382.5407977781593,0.8032148174854212,0.12848438262939454
C101_20_2D,23,382.6211802243882,0.8029633396792898,0.13399919033050536
C101_20_2D,24,314.9959134943125,1.0145300997640136,0.1291124439239502
C101_20_2D,25,374.0259759931481,0.8298535775947763,0.11970180034637451
C101_20_2D,26,373.81723325520755,0.8305066326863528,0.1183422040939331
C101_20_2D,27,365.06248426614707,0.8578960090028056,0.1319814395904541
C101_20_2D,28,377.3039208850709,0.8195984730450452,0.13216084480285645
C101_20_2D,29,376.1164316428042,0.8233135526856865,0.12787528991699218
