Instance,shuffle time,cost,run time
RC101,0,974.6125189557141,5.668038959503174
RC101,1,972.7179290604038,5.670336842536926
RC101,2,959.3045421049787,5.713744449615478
RC101,3,971.5384737667008,5.7108278703689574
RC101,4,974.6894047368974,5.749546718597412
RC101,5,979.4914544142771,5.703895425796508
RC101,6,976.5414571506147,5.692417325973511
RC101,7,962.2368492223904,5.732066564559936
RC101,8,959.3045421049787,6.17645751953125
RC101,9,976.5414571506147,5.707272944450378
RC101,10,975.608323136752,5.79671464920044
RC101,11,980.8617148952596,5.882998456954956
RC101,12,976.4710125866411,5.882059092521668
RC101,13,982.4237615316887,5.656100301742554
RC101,14,959.3045421049787,5.762052531242371
RC101,15,955.2431753794369,5.749496393203735
RC101,16,976.5414571506147,5.670078773498535
RC101,17,959.3045421049787,5.785170612335205
RC101,18,959.3045421049787,5.635052127838135
RC101,19,969.5135691491384,5.7835361194610595
RC101,20,979.4914544142771,5.827170462608337
RC101,21,976.4710125866411,5.6307162666320805
RC101,22,976.5414571506147,5.589254121780396
RC101,23,976.5414571506147,5.711660652160645
RC101,24,968.0443177030234,5.7645863962173465
RC101,25,976.5414571506147,5.889849834442138
RC101,26,970.0126191886658,5.586994361877442
RC101,27,965.8726498008417,5.7692445325851445
RC101,28,979.4914544142771,5.718075637817383
RC101,29,959.3045421049787,5.620656232833863
